"","year","code","category","Species","Class","Region","count","code_mod","risk"
"40017","1998","VU","Vulnerable","Pamphilia vilcabambae","MAGNOLIOPSIDA","global",1,"VU",2
"40018","1998","VU","Vulnerable","Pappobolus sanchezii","MAGNOLIOPSIDA","global",1,"VU",2
"40019","1998","VU","Vulnerable","Paramachaerium schunkei","MAGNOLIOPSIDA","global",1,"VU",2
"40020","1998","DD","Data Deficient","Pentagonia rubiflora","MAGNOLIOPSIDA","global",1,"NA",0
"40021","1998","VU","Vulnerable","Peritassa killipii","MAGNOLIOPSIDA","global",1,"VU",2
"40022","1998","VU","Vulnerable","Persea ruizii","MAGNOLIOPSIDA","global",1,"VU",2
"40023","1998","VU","Vulnerable","Picramnia bullata","MAGNOLIOPSIDA","global",1,"VU",2
"40024","1998","VU","Vulnerable","Piptadenia weberbaueri","MAGNOLIOPSIDA","global",1,"VU",2
"40025","1998","VU","Vulnerable","Platymiscium gracile","MAGNOLIOPSIDA","global",1,"VU",2
"40026","1998","LR/lc","Lower Risk/least concern","Aegiphila cordifolia","MAGNOLIOPSIDA","global",1,"LC",0
"40027","1998","LR/lc","Lower Risk/least concern","Aegiphila sordida","MAGNOLIOPSIDA","global",1,"LC",0
"40028","1998","VU","Vulnerable","Aequatorium rimachianum","MAGNOLIOPSIDA","global",1,"VU",2
"40029","1998","LR/lc","Lower Risk/least concern","Ageratina macbridei","MAGNOLIOPSIDA","global",1,"LC",0
"40030","1998","VU","Vulnerable","Annona asplundiana","MAGNOLIOPSIDA","global",1,"VU",2
"40031","1998","VU","Vulnerable","Annona deminuta","MAGNOLIOPSIDA","global",1,"VU",2
"40032","1998","VU","Vulnerable","Annona dolichophylla","MAGNOLIOPSIDA","global",1,"VU",2
"40033","1998","VU","Vulnerable","Ardisia martinensis","MAGNOLIOPSIDA","global",1,"VU",2
"40034","1998","LR/nt","Lower Risk/near threatened","Ardisia nigrovirens","MAGNOLIOPSIDA","global",1,"LC",0
"40035","1998","LR/nt","Lower Risk/near threatened","Aristeguietia discolor","MAGNOLIOPSIDA","global",1,"LC",0
"40036","1998","LR/nt","Lower Risk/near threatened","Axinaea nitida","MAGNOLIOPSIDA","global",1,"LC",0
"40037","1998","VU","Vulnerable","Bauhinia augusti","MAGNOLIOPSIDA","global",1,"VU",2
"40038","1998","LR/nt","Lower Risk/near threatened","Berberis beauverdiana","MAGNOLIOPSIDA","global",1,"LC",0
"40039","1998","VU","Vulnerable","Berberis dryandriphylla","MAGNOLIOPSIDA","global",1,"VU",2
"40040","1998","VU","Vulnerable","Calliandra decrescens","MAGNOLIOPSIDA","global",1,"VU",2
"40041","1998","VU","Vulnerable","Calliandra tumbeziana","MAGNOLIOPSIDA","global",1,"VU",2
"40042","1998","VU","Vulnerable","Calycorectes wurdackii","MAGNOLIOPSIDA","global",1,"VU",2
"40043","1998","VU","Vulnerable","Calyptranthes brevispicata","MAGNOLIOPSIDA","global",1,"VU",2
"40044","1998","VU","Vulnerable","Calyptranthes crebra","MAGNOLIOPSIDA","global",1,"VU",2
"40045","1998","DD","Data Deficient","Calyptranthes densiflora","MAGNOLIOPSIDA","global",1,"NA",0
"40046","1998","DD","Data Deficient","Calyptranthes sessilis","MAGNOLIOPSIDA","global",1,"NA",0
"40047","1998","LR/nt","Lower Risk/near threatened","Calyptranthes simulata","MAGNOLIOPSIDA","global",1,"LC",0
"40048","1998","LR/nt","Lower Risk/near threatened","Campomanesia speciosa","MAGNOLIOPSIDA","global",1,"LC",0
"40049","1998","VU","Vulnerable","Capparis sprucei","MAGNOLIOPSIDA","global",1,"VU",2
"40050","1998","LR/nt","Lower Risk/near threatened","Caraipa jaramilloi","MAGNOLIOPSIDA","global",1,"LC",0
"40051","1998","VU","Vulnerable","Caraipa utilis","MAGNOLIOPSIDA","global",1,"VU",2
"40052","1998","LR/nt","Lower Risk/near threatened","Cecropia multiflora","MAGNOLIOPSIDA","global",1,"LC",0
"40053","1998","VU","Vulnerable","Cecropia tubulosa","MAGNOLIOPSIDA","global",1,"VU",2
"40054","1998","VU","Vulnerable","Cecropia utcubambana","MAGNOLIOPSIDA","global",1,"VU",2
"40055","1998","VU","Vulnerable","Centronia laurifolia","MAGNOLIOPSIDA","global",1,"VU",2
"40056","1998","VU","Vulnerable","Centronia peruviana","MAGNOLIOPSIDA","global",1,"VU",2
"40057","1998","VU","Vulnerable","Cinnamomum mathewsii","MAGNOLIOPSIDA","global",1,"VU",2
"40058","1998","VU","Vulnerable","Citharexylum quereifolium","MAGNOLIOPSIDA","global",1,"VU",2
"40059","1998","VU","Vulnerable","Citharexylum suberosum","MAGNOLIOPSIDA","global",1,"VU",2
"40060","1998","VU","Vulnerable","Clavija jelskii","MAGNOLIOPSIDA","global",1,"VU",2
"40061","1998","LR/nt","Lower Risk/near threatened","Clavija longifolia","MAGNOLIOPSIDA","global",1,"LC",0
"40062","2018","LC","Least Concern","Clethra obovata","MAGNOLIOPSIDA","global",1,"LC",0
"40063","1998","VU","Vulnerable","Clitoria moyobambensis","MAGNOLIOPSIDA","global",1,"VU",2
"40064","1998","VU","Vulnerable","Clitoria woytkowskii","MAGNOLIOPSIDA","global",1,"VU",2
"40065","1998","VU","Vulnerable","Clusia carinata","MAGNOLIOPSIDA","global",1,"VU",2
"40066","1998","VU","Vulnerable","Clusia pseudomangle","MAGNOLIOPSIDA","global",1,"VU",2
"40067","1998","VU","Vulnerable","Clusia tarmensis","MAGNOLIOPSIDA","global",1,"VU",2
"40068","1998","VU","Vulnerable","Condaminea glabrata","MAGNOLIOPSIDA","global",1,"VU",2
"40069","1998","VU","Vulnerable","Condaminea microcarpa","MAGNOLIOPSIDA","global",1,"VU",2
"40070","1998","VU","Vulnerable","Cordia cicatricosa","MAGNOLIOPSIDA","global",1,"VU",2
"40071","1998","DD","Data Deficient","Coussarea klugii","MAGNOLIOPSIDA","global",1,"NA",0
"40072","1998","VU","Vulnerable","Cremastosperma longicuspe","MAGNOLIOPSIDA","global",1,"VU",2
"40073","1998","VU","Vulnerable","Cremastosperma megalophyllum","MAGNOLIOPSIDA","global",1,"VU",2
"40074","1998","VU","Vulnerable","Cremastosperma peruvianum","MAGNOLIOPSIDA","global",1,"VU",2
"40075","1998","VU","Vulnerable","Dalbergia simpsonii","MAGNOLIOPSIDA","global",1,"VU",2
"40076","1998","VU","Vulnerable","Daphnopsis pavonii","MAGNOLIOPSIDA","global",1,"VU",2
"40077","1998","VU","Vulnerable","Dendropanax marginiferus","MAGNOLIOPSIDA","global",1,"VU",2
"40078","1998","VU","Vulnerable","Dipteryx charapilla","MAGNOLIOPSIDA","global",1,"VU",2
"40079","2003","CR","Critically Endangered","Duguetia peruviana","MAGNOLIOPSIDA","global",2,"CR",4
"40080","1998","DD","Data Deficient","Duguetia peruviana","MAGNOLIOPSIDA","global",2,"NA",0
"40081","1998","LR/nt","Lower Risk/near threatened","Duranta armata","MAGNOLIOPSIDA","global",1,"LC",0
"40082","1998","VU","Vulnerable","Dussia foxii","MAGNOLIOPSIDA","global",1,"VU",2
"40083","1998","VU","Vulnerable","Eriotheca peruviana","MAGNOLIOPSIDA","global",1,"VU",2
"40084","1998","VU","Vulnerable","Erythroxylum pacificum","MAGNOLIOPSIDA","global",1,"VU",2
"40085","1998","VU","Vulnerable","Eugenia discors","MAGNOLIOPSIDA","global",1,"VU",2
"40086","1998","VU","Vulnerable","Eugenia hexovulata","MAGNOLIOPSIDA","global",1,"VU",2
"40087","1998","VU","Vulnerable","Eugenia longicuspis","MAGNOLIOPSIDA","global",1,"VU",2
"40088","1998","VU","Vulnerable","Eugenia micranthoides","MAGNOLIOPSIDA","global",1,"VU",2
"40089","1998","VU","Vulnerable","Eugenia schunkei","MAGNOLIOPSIDA","global",1,"VU",2
"40090","1998","VU","Vulnerable","Euphorbia apurimacensis","MAGNOLIOPSIDA","global",1,"VU",2
"40091","1998","VU","Vulnerable","Euplassa isernii","MAGNOLIOPSIDA","global",1,"VU",2
"40092","1998","VU","Vulnerable","Faramea exemplaris","MAGNOLIOPSIDA","global",1,"VU",2
"40093","1998","DD","Data Deficient","Graffenrieda robusta","MAGNOLIOPSIDA","global",1,"NA",0
"40094","1998","VU","Vulnerable","Graffenrieda trichanthera","MAGNOLIOPSIDA","global",1,"VU",2
"40095","1998","VU","Vulnerable","Guatteria eriopoda","MAGNOLIOPSIDA","global",1,"VU",2
"40096","1998","VU","Vulnerable","Guatteria ramiflora","MAGNOLIOPSIDA","global",1,"VU",2
"40097","1998","VU","Vulnerable","Guettarda comata","MAGNOLIOPSIDA","global",1,"VU",2
"40098","1998","LR/nt","Lower Risk/near threatened","Guettarda ochreata","MAGNOLIOPSIDA","global",1,"LC",0
"40099","1998","VU","Vulnerable","Gynoxys colanensis","MAGNOLIOPSIDA","global",1,"VU",2
"40100","1998","VU","Vulnerable","Ilex anonoides","MAGNOLIOPSIDA","global",1,"VU",2
"40101","1998","VU","Vulnerable","Ilex caniensis","MAGNOLIOPSIDA","global",1,"VU",2
"40102","1998","VU","Vulnerable","Ilex ericoides","MAGNOLIOPSIDA","global",1,"VU",2
"40103","1998","VU","Vulnerable","Ilex jelskii","MAGNOLIOPSIDA","global",1,"VU",2
"40104","1998","VU","Vulnerable","Ilex lechleri","MAGNOLIOPSIDA","global",1,"VU",2
"40105","1998","VU","Vulnerable","Ilex mathewsii","MAGNOLIOPSIDA","global",1,"VU",2
"40106","1998","VU","Vulnerable","Ilex trachyphylla","MAGNOLIOPSIDA","global",1,"VU",2
"40107","1998","VU","Vulnerable","Inga augusti","MAGNOLIOPSIDA","global",1,"VU",2
"40108","1998","VU","Vulnerable","Ipomoea pulcherrima","MAGNOLIOPSIDA","global",1,"VU",2
"40109","1998","VU","Vulnerable","Jacqueshuberia loretensis","MAGNOLIOPSIDA","global",1,"VU",2
"40110","1998","VU","Vulnerable","Kielmeyera peruviana","MAGNOLIOPSIDA","global",1,"VU",2
"40111","1998","VU","Vulnerable","Kotchubaea montana","MAGNOLIOPSIDA","global",1,"VU",2
"40112","1998","VU","Vulnerable","Ladenbergia acutifolia","MAGNOLIOPSIDA","global",1,"VU",2
"40113","1998","VU","Vulnerable","Ladenbergia ferruginea","MAGNOLIOPSIDA","global",1,"VU",2
"40114","1998","VU","Vulnerable","Ladenbergia gavanensis","MAGNOLIOPSIDA","global",1,"VU",2
"40115","1998","VU","Vulnerable","Ladenbergia stenocarpa","MAGNOLIOPSIDA","global",1,"VU",2
"40116","1998","VU","Vulnerable","Ladenbergia ulei","MAGNOLIOPSIDA","global",1,"VU",2
"40117","1998","VU","Vulnerable","Lecointea ovalifolia","MAGNOLIOPSIDA","global",1,"VU",2
"40118","1998","VU","Vulnerable","Moquilea vasquezii","MAGNOLIOPSIDA","global",1,"VU",2
"40119","1998","VU","Vulnerable","Lupinus macbrideanus","MAGNOLIOPSIDA","global",1,"VU",2
"40120","1998","VU","Vulnerable","Pseudoxandra williamsii","MAGNOLIOPSIDA","global",1,"VU",2
"40121","1998","VU","Vulnerable","Psidium rostratum","MAGNOLIOPSIDA","global",1,"VU",2
"40122","1998","VU","Vulnerable","Psychotria woytkowskii","MAGNOLIOPSIDA","global",1,"VU",2
"40123","1998","VU","Vulnerable","Qualea calantha","MAGNOLIOPSIDA","global",1,"VU",2
"40124","1998","VU","Vulnerable","Qualea impexa","MAGNOLIOPSIDA","global",1,"VU",2
"40125","1998","VU","Vulnerable","Quararibea velutina","MAGNOLIOPSIDA","global",1,"VU",2
"40126","1998","VU","Vulnerable","Rondeletia peruviana","MAGNOLIOPSIDA","global",1,"VU",2
"40127","1998","VU","Vulnerable","Roupala pinnata","MAGNOLIOPSIDA","global",1,"VU",2
"40128","1998","VU","Vulnerable","Roupala sphenophyllum","MAGNOLIOPSIDA","global",1,"VU",2
"40129","1998","VU","Vulnerable","Rudgea microcarpa","MAGNOLIOPSIDA","global",1,"VU",2
"40130","1998","VU","Vulnerable","Rudgea obesiflora","MAGNOLIOPSIDA","global",1,"VU",2
"40131","1998","VU","Vulnerable","Rudgea stenophylla","MAGNOLIOPSIDA","global",1,"VU",2
"40132","2018","LC","Least Concern","Sapium glandulosum","MAGNOLIOPSIDA","global",1,"LC",0
"40133","1998","VU","Vulnerable","Schefflera dolichostyla","MAGNOLIOPSIDA","global",1,"VU",2
"40134","1998","VU","Vulnerable","Schefflera euryphylla","MAGNOLIOPSIDA","global",1,"VU",2
"40135","1998","DD","Data Deficient","Schefflera harmsii","MAGNOLIOPSIDA","global",1,"NA",0
"40136","1998","LR/lc","Lower Risk/least concern","Schefflera sprucei","MAGNOLIOPSIDA","global",1,"LC",0
"40137","1998","VU","Vulnerable","Sebastiania huallagensis","MAGNOLIOPSIDA","global",1,"VU",2
"40138","1998","VU","Vulnerable","Simira wurdackii","MAGNOLIOPSIDA","global",1,"VU",2
"40139","1998","VU","Vulnerable","Styrax argyrophyllus","MAGNOLIOPSIDA","global",1,"VU",2
"40140","1998","VU","Vulnerable","Styrax ferax","MAGNOLIOPSIDA","global",1,"VU",2
"40141","1998","VU","Vulnerable","Styrax foveolaria","MAGNOLIOPSIDA","global",1,"VU",2
"40142","1998","VU","Vulnerable","Styrax mathewsii","MAGNOLIOPSIDA","global",1,"VU",2
"40143","1998","VU","Vulnerable","Styrax peruvianum","MAGNOLIOPSIDA","global",1,"VU",2
"40144","1998","VU","Vulnerable","Styrax socialis","MAGNOLIOPSIDA","global",1,"VU",2
"40145","1998","VU","Vulnerable","Symplocos baehnii","MAGNOLIOPSIDA","global",1,"VU",2
"40146","1998","VU","Vulnerable","Symplocos lugubris","MAGNOLIOPSIDA","global",1,"VU",2
